anio,mes,id_municipio,nombre_municipio,concepto,monto
2016,1,06007,Adolfo Alsina,Ingresos Brutos Pequeños Contribuyentes,48687.64
2016,1,06007,Adolfo Alsina,Inmobiliario Rural Fondo Compensador,204646.83943887
2016,1,06007,Adolfo Alsina,Inmobiliario Rural Libre Disponibilidad,23537.03
2016,1,06007,Adolfo Alsina,Otros,0.0
2016,1,06014,Adolfo Gonzales Chaves,Ingresos Brutos Pequeños Contribuyentes,48839.24999999999
2016,1,06014,Adolfo Gonzales Chaves,Inmobiliario Rural Fondo Compensador,114863.90509332
2016,1,06014,Adolfo Gonzales Chaves,Inmobiliario Rural Libre Disponibilidad,153812.74
2016,1,06014,Adolfo Gonzales Chaves,Otros,0.0
2016,1,06021,Alberti,Ingresos Brutos Pequeños Contribuyentes,31479.93
2016,1,06021,Alberti,Inmobiliario Rural Fondo Compensador,41641.80627563999
2016,1,06021,Alberti,Inmobiliario Rural Libre Disponibilidad,84692.31
2016,1,06021,Alberti,Otros,0.0
2016,1,06028,Almirante Brown,Ingresos Brutos Pequeños Contribuyentes,440663.0700000001
2016,1,06028,Almirante Brown,Inmobiliario Rural Fondo Compensador,1101.66010335
2016,1,06028,Almirante Brown,Inmobiliario Rural Libre Disponibilidad,11156.59
2016,1,06028,Almirante Brown,Otros,0.0
2016,1,06077,Arrecifes,Ingresos Brutos Pequeños Contribuyentes,47606.98999999999
2016,1,06077,Arrecifes,Inmobiliario Rural Fondo Compensador,46268.77870970999
2016,1,06077,Arrecifes,Inmobiliario Rural Libre Disponibilidad,167403.59
2016,1,06077,Arrecifes,Otros,0.0
2016,1,06035,Avellaneda,Ingresos Brutos Pequeños Contribuyentes,496297.9300000001
2016,1,06035,Avellaneda,Inmobiliario Rural Fondo Compensador,257.21162928
2016,1,06035,Avellaneda,Inmobiliario Rural Libre Disponibilidad,1347.01
2016,1,06035,Avellaneda,Otros,0.0
2016,1,06042,Ayacucho,Ingresos Brutos Pequeños Contribuyentes,100799.88
2016,1,06042,Ayacucho,Inmobiliario Rural Fondo Compensador,220620.43812195
2016,1,06042,Ayacucho,Inmobiliario Rural Libre Disponibilidad,272262.92
2016,1,06042,Ayacucho,Otros,0.0
2016,1,06049,Azul,Ingresos Brutos Pequeños Contribuyentes,168464.98
2016,1,06049,Azul,Inmobiliario Rural Fondo Compensador,202700.73086145
2016,1,06049,Azul,Inmobiliario Rural Libre Disponibilidad,482663.7799999999
2016,1,06049,Azul,Otros,0.0
2016,1,06056,Bahía Blanca,Ingresos Brutos Pequeños Contribuyentes,1023001.83
2016,1,06056,Bahía Blanca,Inmobiliario Rural Fondo Compensador,16524.90155025
2016,1,06056,Bahía Blanca,Inmobiliario Rural Libre Disponibilidad,38155.74
2016,1,06056,Bahía Blanca,Otros,0.0
2016,1,06063,Balcarce,Ingresos Brutos Pequeños Contribuyentes,111198.04
2016,1,06063,Balcarce,Inmobiliario Rural Fondo Compensador,157717.06466715
2016,1,06063,Balcarce,Inmobiliario Rural Libre Disponibilidad,612153.4199999999
2016,1,06063,Balcarce,Otros,0.0
2016,1,06070,Baradero,Ingresos Brutos Pequeños Contribuyentes,61640.43
2016,1,06070,Baradero,Inmobiliario Rural Fondo Compensador,41311.78106012999
2016,1,06070,Baradero,Inmobiliario Rural Libre Disponibilidad,195698.32
2016,1,06070,Baradero,Otros,0.0
2016,1,06084,Benito Juárez,Ingresos Brutos Pequeños Contribuyentes,55399.81999999999
2016,1,06084,Benito Juárez,Inmobiliario Rural Fondo Compensador,188673.24075579
2016,1,06084,Benito Juárez,Inmobiliario Rural Libre Disponibilidad,182571.1
2016,1,06084,Benito Juárez,Otros,0.0
2016,1,06091,Berazategui,Ingresos Brutos Pequeños Contribuyentes,345485.34
2016,1,06091,Berazategui,Inmobiliario Rural Fondo Compensador,8078.52554757
2016,1,06091,Berazategui,Inmobiliario Rural Libre Disponibilidad,16892.17
2016,1,06091,Berazategui,Otros,0.0
2016,1,06098,Berisso,Ingresos Brutos Pequeños Contribuyentes,122200.16
2016,1,06098,Berisso,Inmobiliario Rural Fondo Compensador,3010.88907216
2016,1,06098,Berisso,Inmobiliario Rural Libre Disponibilidad,19348.52
2016,1,06098,Berisso,Otros,0.0
2016,1,06105,Bolívar,Ingresos Brutos Pequeños Contribuyentes,109370.93
2016,1,06105,Bolívar,Inmobiliario Rural Fondo Compensador,115708.35356739
2016,1,06105,Bolívar,Inmobiliario Rural Libre Disponibilidad,243077.0
2016,1,06105,Bolívar,Otros,0.0
2016,1,06112,Bragado,Ingresos Brutos Pequeños Contribuyentes,96776.81000000001
2016,1,06112,Bragado,Inmobiliario Rural Fondo Compensador,85927.59679931999
2016,1,06112,Bragado,Inmobiliario Rural Libre Disponibilidad,230117.81
2016,1,06112,Bragado,Otros,0.0
2016,1,06119,Brandsen,Ingresos Brutos Pequeños Contribuyentes,67677.09999999998
2016,1,06119,Brandsen,Inmobiliario Rural Fondo Compensador,49205.90856465
2016,1,06119,Brandsen,Inmobiliario Rural Libre Disponibilidad,42687.54
2016,1,06119,Brandsen,Otros,0.0
2016,1,06126,Campana,Ingresos Brutos Pequeños Contribuyentes,136574.18
2016,1,06126,Campana,Inmobiliario Rural Fondo Compensador,6976.865444219999
2016,1,06126,Campana,Inmobiliario Rural Libre Disponibilidad,178056.13
2016,1,06126,Campana,Otros,0.0
2016,1,06134,Cañuelas,Ingresos Brutos Pequeños Contribuyentes,79315.78
2016,1,06134,Cañuelas,Inmobiliario Rural Fondo Compensador,37822.40270702999
2016,1,06134,Cañuelas,Inmobiliario Rural Libre Disponibilidad,88216.86
2016,1,06134,Cañuelas,Otros,0.0
2016,1,06140,Capitán Sarmiento,Ingresos Brutos Pequeños Contribuyentes,38279.99
2016,1,06140,Capitán Sarmiento,Inmobiliario Rural Fondo Compensador,22400.10689112
2016,1,06140,Capitán Sarmiento,Inmobiliario Rural Libre Disponibilidad,148514.28
2016,1,06140,Capitán Sarmiento,Otros,0.0
2016,1,06147,Carlos Casares,Ingresos Brutos Pequeños Contribuyentes,51715.48
2016,1,06147,Carlos Casares,Inmobiliario Rural Fondo Compensador,120812.86965141
2016,1,06147,Carlos Casares,Inmobiliario Rural Libre Disponibilidad,246914.9600000001
2016,1,06147,Carlos Casares,Otros,0.0
2016,1,06154,Carlos Tejedor,Ingresos Brutos Pequeños Contribuyentes,34456.17999999999
2016,1,06154,Carlos Tejedor,Inmobiliario Rural Fondo Compensador,125219.51006481
2016,1,06154,Carlos Tejedor,Inmobiliario Rural Libre Disponibilidad,178963.66
2016,1,06154,Carlos Tejedor,Otros,0.0
2016,1,06161,Carmen de Areco,Ingresos Brutos Pequeños Contribuyentes,25697.98999999999
2016,1,06161,Carmen de Areco,Inmobiliario Rural Fondo Compensador,42265.92272903999
2016,1,06161,Carmen de Areco,Inmobiliario Rural Libre Disponibilidad,186511.33
2016,1,06161,Carmen de Areco,Otros,0.0
2016,1,06168,Castelli,Ingresos Brutos Pequeños Contribuyentes,20500.82999999999
2016,1,06168,Castelli,Inmobiliario Rural Fondo Compensador,63894.39473231998
2016,1,06168,Castelli,Inmobiliario Rural Libre Disponibilidad,33399.18
2016,1,06168,Castelli,Otros,0.0
2016,1,06210,Chacabuco,Ingresos Brutos Pequeños Contribuyentes,115918.25
2016,1,06210,Chacabuco,Inmobiliario Rural Fondo Compensador,91693.10894534999
2016,1,06210,Chacabuco,Inmobiliario Rural Libre Disponibilidad,203190.2
2016,1,06210,Chacabuco,Otros,0.0
2016,1,06218,Chascomús,Ingresos Brutos Pequeños Contribuyentes,96501.64000000003
2016,1,06218,Chascomús,Inmobiliario Rural Fondo Compensador,123937.23444237
2016,1,06218,Chascomús,Inmobiliario Rural Libre Disponibilidad,219648.85
2016,1,06218,Chascomús,Otros,0.0
2016,1,06224,Chivilcoy,Ingresos Brutos Pequeños Contribuyentes,191221.39
2016,1,06224,Chivilcoy,Inmobiliario Rural Fondo Compensador,83650.51737539998
2016,1,06224,Chivilcoy,Inmobiliario Rural Libre Disponibilidad,247695.27
2016,1,06224,Chivilcoy,Otros,0.0
2016,1,06175,Colón,Ingresos Brutos Pequeños Contribuyentes,40327.54
2016,1,06175,Colón,Inmobiliario Rural Fondo Compensador,46268.77870970999
2016,1,06175,Colón,Inmobiliario Rural Libre Disponibilidad,125760.43
2016,1,06175,Colón,Otros,0.0
2016,1,06189,Coronel Dorrego,Ingresos Brutos Pequeños Contribuyentes,41316.67
2016,1,06189,Coronel Dorrego,Inmobiliario Rural Fondo Compensador,100542.32374977
2016,1,06189,Coronel Dorrego,Inmobiliario Rural Libre Disponibilidad,36503.94
2016,1,06189,Coronel Dorrego,Otros,0.0
2016,1,06196,Coronel Pringles,Ingresos Brutos Pequeños Contribuyentes,99620.78000000001
2016,1,06196,Coronel Pringles,Inmobiliario Rural Fondo Compensador,157423.91906025
2016,1,06196,Coronel Pringles,Inmobiliario Rural Libre Disponibilidad,40685.14
2016,1,06196,Coronel Pringles,Otros,0.0
2016,1,06182,Coronel de Marina Leonardo Rosales,Ingresos Brutos Pequeños Contribuyentes,82267.67
2016,1,06182,Coronel de Marina Leonardo Rosales,Inmobiliario Rural Fondo Compensador,8261.97795963
2016,1,06182,Coronel de Marina Leonardo Rosales,Inmobiliario Rural Libre Disponibilidad,5799.39
2016,1,06182,Coronel de Marina Leonardo Rosales,Otros,0.0
2016,1,06203,Coronel Suárez,Ingresos Brutos Pequeños Contribuyentes,150248.13
2016,1,06203,Coronel Suárez,Inmobiliario Rural Fondo Compensador,138071.5808499
2016,1,06203,Coronel Suárez,Inmobiliario Rural Libre Disponibilidad,181761.3
2016,1,06203,Coronel Suárez,Otros,0.0
2016,1,06231,Daireaux,Ingresos Brutos Pequeños Contribuyentes,38383.24000000001
2016,1,06231,Daireaux,Inmobiliario Rural Fondo Compensador,142478.2212633
2016,1,06231,Daireaux,Inmobiliario Rural Libre Disponibilidad,143966.7
2016,1,06231,Daireaux,Otros,0.0
2016,1,06238,Dolores,Ingresos Brutos Pequeños Contribuyentes,51677.74
2016,1,06238,Dolores,Inmobiliario Rural Fondo Compensador,54384.18386588999
2016,1,06238,Dolores,Inmobiliario Rural Libre Disponibilidad,36202.98
2016,1,06238,Dolores,Otros,0.0
2016,1,06245,Ensenada,Ingresos Brutos Pequeños Contribuyentes,194878.04
2016,1,06245,Ensenada,Inmobiliario Rural Fondo Compensador,4186.308392729999
2016,1,06245,Ensenada,Inmobiliario Rural Libre Disponibilidad,946.3599999999999
2016,1,06245,Ensenada,Otros,0.0
2016,1,06252,Escobar,Ingresos Brutos Pequeños Contribuyentes,255247.52
2016,1,06252,Escobar,Inmobiliario Rural Fondo Compensador,1211.35329819
2016,1,06252,Escobar,Inmobiliario Rural Libre Disponibilidad,206229.86
2016,1,06252,Escobar,Otros,0.0
2016,1,06260,Esteban Echeverría,Ingresos Brutos Pequeños Contribuyentes,241932.11
2016,1,06260,Esteban Echeverría,Inmobiliario Rural Fondo Compensador,4039.73558928
2016,1,06260,Esteban Echeverría,Inmobiliario Rural Libre Disponibilidad,14001.14
2016,1,06260,Esteban Echeverría,Otros,0.0
2016,1,06266,Exaltación de la Cruz,Ingresos Brutos Pequeños Contribuyentes,53093.55
2016,1,06266,Exaltación de la Cruz,Inmobiliario Rural Fondo Compensador,25631.32798395
2016,1,06266,Exaltación de la Cruz,Inmobiliario Rural Libre Disponibilidad,173973.62
2016,1,06266,Exaltación de la Cruz,Otros,0.0
2016,1,06270,Ezeiza,Ingresos Brutos Pequeños Contribuyentes,137035.18
2016,1,06270,Ezeiza,Inmobiliario Rural Fondo Compensador,4039.73558928
